,precision,recall,f1-score,support
Apple,1.0,1.0,1.0,20.0
Banana,1.0,1.0,1.0,20.0
Blackgram,0.9523809523809523,1.0,0.975609756097561,20.0
ChickPea,1.0,1.0,1.0,20.0
Coconut,0.9523809523809523,1.0,0.975609756097561,20.0
Coffee,1.0,1.0,1.0,20.0
Cotton,0.9523809523809523,1.0,0.975609756097561,20.0
Grapes,1.0,1.0,1.0,20.0
Jute,0.8333333333333334,1.0,0.9090909090909091,20.0
KidneyBeans,1.0,1.0,1.0,20.0
Lentil,0.9444444444444444,0.85,0.8947368421052632,20.0
Maize,1.0,0.95,0.9743589743589743,20.0
Mango,0.9523809523809523,1.0,0.975609756097561,20.0
MothBeans,0.9,0.9,0.9,20.0
MungBean,1.0,1.0,1.0,20.0
Muskmelon,1.0,1.0,1.0,20.0
Orange,1.0,0.95,0.9743589743589743,20.0
Papaya,1.0,0.95,0.9743589743589743,20.0
PigeonPeas,1.0,1.0,1.0,20.0
Pomegranate,1.0,1.0,1.0,20.0
Rice,0.9411764705882353,0.8,0.8648648648648649,20.0
Watermelon,1.0,1.0,1.0,20.0
accuracy,0.9727272727272728,0.9727272727272728,0.9727272727272728,0.9727272727272728
macro avg,0.9740217299040829,0.9727272727272727,0.9724640256149183,440.0
weighted avg,0.974021729904083,0.9727272727272728,0.9724640256149185,440.0
